,서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명,결제방법,장소명,서비스대상,바로가기URL,장소X좌표,장소Y좌표,서비스개시시작일시,서비스개시종료일시,접수시작일시,접수종료일시,지역명,이미지경로,전화번호,서비스이용 시작시간,서비스이용 종료시간,취소기간 기준정보,취소기간 기준일까지,종료일자,종료시간
334,자체,S250224104624444406,문화체험,산림여가,접수중,[은평구] 목공체험 프로그램-스마일휴지케이스(4월),유료,은평목재문화체험장," 성인, 청소년(중고등학생 이상)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224104624444406,126.91432,37.63863,2025-04-18 0:00:00,20250418 00:00:00.0,2025-02-25 9:00:00,2025-04-17 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740361691932RRR6MYQTV3MY444VCYLXI4XJ6,02-351-8034,14:00,15:30,이용일,1,20250418,0:00:00
335,자체,S250224105312344385,문화체험,산림여가,접수중,[은평구] 목공체험 프로그램-사각도마(4월),유료,은평목재문화체험장," 성인, 청소년(중고등학생 이상)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224105312344385,126.91432,37.63863,2025-04-25 0:00:00,20250425 00:00:00.0,2025-02-25 9:00:00,2025-04-24 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17403625975065K91NDJ3I11QON3JBKF4L4LIJ,02-351-8034,14:00,15:30,이용일,1,20250425,0:00:00
336,자체,S250224110450115430,문화체험,산림여가,접수중,[은평구] 목공체험 프로그램-화장품정리함(4월),유료,은평목재문화체험장," 성인, 청소년(중고등학생)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224110450115430,126.91432,37.63863,2025-04-25 0:00:00,20250425 00:00:00.0,2025-02-25 9:00:00,2025-04-24 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17403627389233UESBE7CUDBHORZ2Y4RNTEJIO,02-351-8034,16:00,17:30,이용일,1,20250425,0:00:00
337,자체,S250224111015080178,문화체험,산림여가,예약마감,[은평구] 1인가구 대상 목공체험 프로그램-미니벤치 겸 화분받침(4월)(토),무료,은평목재문화체험장,성인(1인가구대상),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224111015080178,126.91432,37.63863,2025-04-12 0:00:00,20250426 00:00:00.0,2025-02-25 9:00:00,2025-04-25 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740363067163GCKPTZWO7JG6TK7N6V5UIEXV0,02-351-8034,14:00,15:30,이용일,1,20250426,0:00:00
338,자체,S250224111449806746,문화체험,산림여가,예약마감,[은평구] 가족 대상 목공체험 프로그램-동물화분(4월)(토),무료,은평목재문화체험장,가족(세대원 2인이상 가족),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250224111449806746,126.91432,37.63863,2025-04-12 0:00:00,20250426 00:00:00.0,2025-02-25 9:00:00,2025-04-25 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17403633081649SZY4JGDQ3SMXYNPHTCSXDO6X,02-351-8034,16:00,17:30,이용일,1,20250426,0:00:00
339,자체,S250402112019492923,문화체험,산림여가,접수중,"[은평구] 목공체험 프로그램-간식 트레이(5,6월)",유료,은평목재문화체험장," 성인, 청소년(중고등학생 이상)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402112019492923,126.91432,37.63863,2025-05-02 0:00:00,20250625 00:00:00.0,2025-04-02 9:00:00,2025-06-25 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743560834064SW3HPJ2VEVQ1JWDHLVWW90KDQ,02-351-8034,10:00,15:30,이용일,1,20250625,0:00:00
340,자체,S250402113624266591,문화체험,산림여가,접수중,[은평구] 목공체험 프로그램-8각의자(5월),유료,은평목재문화체험장," 성인, 청소년(중고등학생 이상)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402113624266591,126.91432,37.63863,2025-05-02 0:00:00,20250502 00:00:00.0,2025-04-02 9:00:00,2025-05-02 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17435614011789W2CZRB2KNH7Y63N5ZPJSKZIA,02-351-8034,16:00,17:30,이용일,1,20250502,0:00:00
341,자체,S250402114019790982,문화체험,산림여가,접수중,"[은평구] 목공체험 프로그램-동물 마스코트(5,6월)(토)",유료,은평목재문화체험장," 성인, 유아(보호자 1인 동반 필수), 청소년(중고등대상), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402114019790982,126.91432,37.63863,2025-05-03 0:00:00,20250605 00:00:00.0,2025-04-02 9:00:00,2025-06-05 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743561656848HHCM17GYP2AOD0PRCB7SR5GLS,02-351-8034,14:00,15:30,이용일,1,20250605,0:00:00
342,자체,S250402114425078180,문화체험,산림여가,접수중,"[은평구] 목공체험 프로그램-내맘대로뚝딱뚝딱(5,6월)(토)",유료,은평목재문화체험장," 성인, 유아(영유아는 보호자 1인 동반 필수), 청소년, 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402114425078180,126.91432,37.63863,2025-05-03 0:00:00,20250621 00:00:00.0,2025-04-02 9:00:00,2025-06-21 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743561886281WWF7X4OKLC17RTLLOBIIQYZFD,02-351-8034,16:00,17:30,이용일,1,20250621,0:00:00
343,자체,S250402134741584705,문화체험,산림여가,접수중,[은평구] 목공체험 프로그램-자동차(카고트럭)(5월),유료,은평목재문화체험장," 성인, 유아(영유아는 보호자 1인 동반 필수), 청소년(중고등학생), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402134741584705,126.91432,37.63863,2025-05-07 0:00:00,20250507 00:00:00.0,2025-04-02 9:00:00,2025-05-07 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743569302698TKTH85DC7WP1P2WSXZA90WIC4,02-351-8034,10:00,11:30,이용일,1,20250507,0:00:00
344,자체,S250402135347435299,문화체험,산림여가,접수중,[은평구] 목공체험 프로그램-자동차(클래식카)(6월),유료,은평목재문화체험장," 성인, 유아(영유아는 보호자 1인 동반 필수), 청소년(중고등학생), 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402135347435299,126.91432,37.63863,2025-06-13 0:00:00,20250613 00:00:00.0,2025-04-02 9:00:00,2025-06-13 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743569710901U8LA6Z2UCN52KO5PO643L554K,02-351-8034,16:00,17:30,이용일,1,20250613,0:00:00
345,자체,S250402135750302950,문화체험,산림여가,접수중,"[은평구] 목공체험 프로그램-스마일보석상자(5,6월)",유료,은평목재문화체험장," 성인, 청소년, 초등학생",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402135750302950,126.91432,37.63863,2025-05-07 0:00:00,20250611 00:00:00.0,2025-04-02 9:00:00,2025-06-11 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743569941716T8KCBCA9NDDRT45JHEAFMEW0E,02-351-8034,14:00,15:30,이용일,1,20250611,0:00:00
346,자체,S250402140138794632,문화체험,산림여가,접수중,"[은평구] 목공체험 프로그램-라운드손잡이캐리어(5,6월)",유료,은평목재문화체험장," 성인, 청소년(중고등학생 이상)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402140138794632,126.91432,37.63863,2025-05-07 0:00:00,20250611 00:00:00.0,2025-04-02 9:00:00,2025-06-11 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17435701192672YQKH39P60B8U8HA7D5N5FI7T,02-351-8034,16:00,17:30,이용일,1,20250611,0:00:00
347,자체,S250402140447843190,문화체험,산림여가,접수중,"[은평구]목공체험 프로그램-1단서랍장(5,6월)",유료,은평목재문화체험장,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402140447843190,126.91432,37.63863,2025-05-09 0:00:00,20250627 00:00:00.0,2025-04-02 9:00:00,2025-06-27 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=174357032157718RZ6O6AP21FWQQYJJB7PREX7,02-351-8034,14:00,15:30,이용일,1,20250627,0:00:00
348,자체,S250402140948489716,문화체험,산림여가,접수중,"[은평구] 목공체험 프로그램-동물의자(5,6월)(토)",유료,은평목재문화체험장," 성인, 청소년(중고등학생 이상)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402140948489716,126.91432,37.63863,2025-05-09 0:00:00,20250607 00:00:00.0,2025-04-02 9:00:00,2025-06-07 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743570621912SXBC3P7KRBLCMHY5FYVZXHH7D,02-351-8034,14:00,17:30,이용일,1,20250607,0:00:00
349,자체,S250402141639979320,문화체험,산림여가,접수중,"[은평구] 1인가구 대상 목공체험 프로그램-미니벤치 겸 화분받침(5,6월)(토)",무료,은평목재문화체험장,성인(1인가구대상),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250402141639979320,126.91432,37.63863,2025-05-10 0:00:00,20250614 00:00:00.0,2025-04-02 9:00:00,2025-06-14 18:00:00,은평구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743571035441PJM2AHH51MA7H2PPCQ43VH0RA,02-351-8034,14:00,15:30,이용일,1,20250614,0:00:00
350,자체,S250318164723932237,문화체험,문화행사,예약마감,"(북서울꿈의숲) 한옥에 스미는 봄, 차 한잔",무료,북서울꿈의숲,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250318164723932237,127.04434,37.62026,2025-03-24 0:00:00,20250429 00:00:00.0,2025-03-19 10:00:00,2025-04-29 10:00:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17422840429245X9BX07OCE287H51PGQDWXC96,,10:00,11:30,이용일,3,20250429,0:00:00
351,자체,S250320101101330137,문화체험,공원탐방,접수중,(화)들락날락 힐링 소리산책,무료,북서울꿈의숲,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320101101330137,127.04434,37.62026,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:00:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742433499995OEOLBJGOO6UDMS5Y5DTJP32CI,02-2289-4052,10:00,11:30,이용일,3,20250430,0:00:00
352,자체,S250320103033319591,문화체험,공원탐방,접수중,"(수)모여라, 꿈숲 생태탐험대",무료,북서울꿈의숲,어린이(7세~초등학생(보호자 동반 필수)),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250320103033319591,127.04434,37.62026,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:00:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17424571209908101MIZ31H7M7HKAZ8PQA5WN5,02-2289-4052,14:30,16:00,이용일,3,20250430,0:00:00
353,자체,S250321090025839234,문화체험,공원탐방,예약마감,(목)계절 담은 자연 놀이터,무료,북서울꿈의숲,유아(6~7세(단체) 20명 이내 1회1팀),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321090025839234,127.04434,37.62026,2025-04-03 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17425160857805B4ZGJQH5LQOJUVES8B553QEM,02-2289-4052,0:00,0:00,이용일,3,20250430,0:00:00
354,자체,S250321091840768146,문화체험,공원탐방,예약마감,(금)지구지킴이! 열두 달 환경 이야기,무료,북서울꿈의숲,제한없음(초등학교/시니어/복지관/동호회 단체 등),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321091840768146,127.04434,37.62026,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742516527199VBTTPY0ZXKUX993O8NDG1Y6BN,02-2289-4052,10:00,11:30,이용일,3,20250430,0:00:00
355,자체,S250321122656726197,문화체험,공원탐방,예약마감,(토)북서울꿈의숲 선비체험,무료,북서울꿈의숲,초등학생,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321122656726197,127.04434,37.62026,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742527711109PYWGBZA9B7MS922QJQL9TNV3L,02-2289-4052,13:00,15:00,이용일,3,20250430,0:00:00
356,자체,S250321123503168811,문화체험,공원탐방,접수중,(토)북서울꿈의숲 전래전통놀이,무료,북서울꿈의숲,초등학생(전통전래),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321123503168811,127.04434,37.62026,2025-03-21 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742528196132U4ZHNB2H44JGZOBEIRF2AJRE7,02-2289-4052,15:00,17:00,이용일,3,20250430,0:00:00
357,자체,S250321123845458583,문화체험,공원탐방,접수중,(주말)찾아라! 꿈의숲 역사이야기,무료,북서울꿈의숲," 제한없음(초등학생,가족,단체 등)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321123845458583,127.04434,37.62026,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742528507393BJA5BAYV2VW5DRWRZOJLIDRT5,02-2289-4052,10:00,15:00,이용일,3,20250430,0:00:00
358,자체,S250321125143457108,문화체험,공원탐방,접수중,GREEN 4 YOU,무료,북서울꿈의숲,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321125143457108,127.04434,37.62026,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742529840102WTIOJIJWG13JJ16ZBRLNJBSHS,02-2289-4052,10:00,15:00,이용일,3,20250430,0:00:00
359,자체,S250321131258427293,문화체험,공원탐방,접수중,"뚜벅뚜벅 숲, 소곤소곤 이야기",무료,북서울꿈의숲," 성인(유,초,중,고 자녀를 둔 학부모)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321131258427293,127.04434,37.62026,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742530756240TR3F7N1OAT0P6Z5L0Z7ZKKXGY,02-2289-4052,10:00,12:00,이용일,3,20250430,0:00:00
360,자체,S250321132432611488,문화체험,공원탐방,접수중,아이랑 어른이랑 꿈숲으로 풍덩!,무료,북서울꿈의숲,가족,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321132432611488,127.04434,37.62026,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742531433123IP283JOF34WYMCSW8XBTXPBT1,02-2289-4052,15:00,17:00,이용일,3,20250430,0:00:00
361,자체,S250408200455978726,문화체험,공원탐방,접수중,손끝으로 발끝으로 봄!봄!,무료,북서울꿈의숲," 성인(유,초,중,고 자녀를 둔 학부모)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250408200455978726,127.04434,37.62026,2025-04-22 0:00:00,20250430 00:00:00.0,2025-04-08 10:00:00,2025-04-30 18:01:00,강북구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17441105063081UAXY7JD762EDY3V1QIJL846I,02-2289-4052,10:00,12:00,이용일,3,20250430,0:00:00
362,자체,S250321095059515313,문화체험,공원탐방,접수중,(토) 가족 생태 나들이,무료,중랑캠핑숲,가족(6세 이상 보호자 동반),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321095059515313,127.10947,37.60641,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742518546831M03AN559VP2HP2X5KZMW5TO4C,02-2289-4052,10:00,15:30,이용일,3,20250430,0:00:00
363,자체,S250321100332082400,문화체험,공원탐방,접수중,신나는 유아 숲체험,무료,중랑캠핑숲,유아(유아 단체(인솔교사 동행)),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321100332082400,127.10947,37.60641,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17425192241405BVCRLEY9CR1OTING717IVHGN,02-2289-4052,10:00,11:30,이용일,3,20250430,0:00:00
364,자체,S250321101048427543,문화체험,공원탐방,접수중,중랑캠핑숲 곤충탐험대,무료,중랑캠핑숲,초등학생(7세~초등학생 [보호자 동반 필수]),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321101048427543,127.10947,37.60641,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742519658979BV9EOA0EI7L114RY5ATPQSXVU,02-2289-4052,14:30,16:00,이용일,3,20250430,0:00:00
365,자체,S250321101816033953,문화체험,공원탐방,접수중,힐링이 되는 꽃과 나무 이야기,무료,중랑캠핑숲,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321101816033953,127.10947,37.60641,2025-03-21 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742780277716XQQUCQBTMR82R0HXHPM62J0WF,02-2289-4052,10:00,15:30,이용일,3,20250430,0:00:00
366,자체,S250321121050310573,문화체험,공원탐방,접수중,중랑캠핑숲 오감체험,무료,중랑캠핑숲," 제한없음(초등학교단체,시니어단체,복지관단체,동호회단체 등)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321121050310573,127.10947,37.60641,2025-03-24 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742526898999RIWVARXH49G9W8QBWMX8G5WB8,02-2289-4052,10:00,11:30,이용일,3,20250430,0:00:00
367,자체,S250324110435805499,문화체험,교육체험,접수중,(4.19.토) 제17회 정순왕후문화제★공예체험,유료,숭인근린공원 운동장,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250324110435805499,127.0176649,37.57810874,2025-04-19 0:00:00,20250419 00:00:00.0,2025-03-26 9:00:00,2025-04-18 12:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17428061687031N2M40C4NGNH9TP6Y8GMGWJGF,02-2148-1856,12:00,16:00,이용일,1,20250419,0:00:00
368,자체,S250325173043185405,문화체험,교육체험,접수중,(4.19.토) 제17회 정순왕후문화제★정순왕후숨결길 해설,무료,숭인근린공원 운동장,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250325173043185405,127.0176649,37.57810874,2025-04-19 0:00:00,20250419 00:00:00.0,2025-03-26 9:00:00,2025-04-18 12:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17428918674620VKSEY0I3ULHDXT1YYYD3M0CF,02-2148-1856,12:00,14:10,이용일,1,20250419,0:00:00
369,자체,S250325175453791407,문화체험,교육체험,예약마감,(4.19.토) 제17회 정순왕후문화제★제례교육,무료,숭인근린공원 운동장,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250325175453791407,127.0176649,37.57810874,2025-04-19 0:00:00,20250419 00:00:00.0,2025-03-26 9:00:00,2025-04-18 12:00:00,종로구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742893358085A89LTG1SZF8TADDSN9YGT1IWH,02-2148-1856,12:30,15:30,이용일,1,20250419,0:00:00
370,자체,S250210090000108547,문화체험,산림여가,접수중,[성동구] 매봉산 치유의 숲길-일반,무료,성동구 매봉산 치유의 숲길," 가족(13세미만과 고령인경우 보호자1인당1인동반), 성인, 어르신, 청소년",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250210090000108547,127.0097105,37.54403823,2025-03-04 0:00:00,20250430 00:00:00.0,2025-02-26 0:01:00,2025-04-30 0:02:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17391458168316G888F6SQJGU72ZD3MRUTK9GA,02-2286-5673 / 010-4702-0283(산림치유지도사),10:00,16:00,이용일,1,20250430,0:00:00
371,자체,S250220090801263165,문화체험,산림여가,접수중,[성동구] 매봉산 치유의 숲길-어르신,무료,성동구 매봉산 치유의 숲길,어르신,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220090801263165,127.0097105,37.54403823,2025-03-04 0:00:00,20250430 00:00:00.0,2025-02-26 0:00:00,2025-04-30 0:02:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17405580333933YOBAVP8YG1H8C7GHMNR7627Z,02-2286-5673 / 010-4702-0283(산림치유지도사),14:00,16:00,이용일,1,20250430,0:00:00
372,자체,S250220091920827265,문화체험,산림여가,접수중,[성동구] 매봉산 치유의 숲길-청소년,무료,성동구 매봉산 치유의 숲길,청소년,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220091920827265,127.0097105,37.54403823,2025-03-04 0:00:00,20250430 00:00:00.0,2025-02-26 0:01:00,2025-04-30 0:02:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740559053270VOXKJ6TC1T1CP10ZMCAVYHD3F,02-2286-5673 / 010-4702-0283(산림치유지도사),14:00,16:00,이용일,1,20250430,0:00:00
373,자체,S250220092302506604,문화체험,산림여가,접수중,"[성동구] 매봉산 치유의 숲길(경찰, 소방 공무원)",무료,성동구 매봉산 치유의 숲길,성인,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220092302506604,127.0097105,37.54403823,2025-03-04 0:00:00,20250530 00:00:00.0,2025-02-26 0:00:00,2025-05-29 0:00:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1740557296029JRKQ1WFX5O0LX4RWO9ZSS4NZS,02-2286-5673 / 010-4702-0283(산림치유지도사),10:00,16:00,이용일,1,20250530,0:00:00
374,자체,S250220092721769788,문화체험,산림여가,접수중,[성동구] 매봉산 치유의 숲길-난임부부,무료,성동구 매봉산 치유의 숲길," 가족(부부), 성인",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250220092721769788,127.0097105,37.54403823,2025-03-04 0:00:00,20250430 00:00:00.0,2025-02-26 0:01:00,2025-04-30 0:02:00,성동구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17400112859504KLP9EDMJC4ZJJBJTRGYVTEDS,02-2286-5673 / 010-4702-0283(산림치유지도사),10:00,16:00,이용일,1,20250430,0:00:00
375,자체,S250328155113428826,문화체험,산림여가,접수중,(유아숲 04월)중랑구 사가정공원유아숲 계절별 숲체험 및 생태놀이(유아 단체/개인),무료,사가정공원유아숲체험원,유아(유아),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250328155113428826,127.10717,37.58491,2025-04-01 0:00:00,20250430 00:00:00.0,2025-03-28 0:00:00,2025-04-28 0:00:00,중랑구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1743145624269L33VMKN3M9KN2BA3SBCNO269M,02-2094-2394,13:30,17:00,이용일,3,20250430,0:00:00
376,자체,S250321121802806534,문화체험,공원탐방,접수중,"(토,일)시작하는 봄",무료,서울창포원,제한없음,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321121802806534,127.0472,37.68954,2025-03-21 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,도봉구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742527351860KITEGHF5D9FHVWJ4FIMR8IOOG,02-2289-4052,10:00,14:30,이용일,3,20250430,0:00:00
377,자체,S250321124541811564,문화체험,공원탐방,접수중,(주말)꽃향기과 함께 떠나는 기차여행,무료,경춘선숲길," 제한없음(초등학생, 가족, 단체 등)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250321124541811564,127.09309,37.62445,2025-03-21 0:00:00,20250430 00:00:00.0,2025-03-24 10:00:00,2025-04-30 10:01:00,노원구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=1742528915655Z9OOPXJECPMSIMU6SVCQ0MRRR,02-2289-4052,10:00,14:00,이용일,3,20250430,0:00:00
378,자체,S250213155034243392,문화체험,교육체험,예약마감,[초안산가드닝센터][주말][토요일]3~4월/가드닝/사계정원,유료,초안산가드닝센터 본관,성인(중학생 이상 성인),https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250213155034243392,127.0466785,37.64749082,2025-03-22 0:00:00,20250426 00:00:00.0,2025-02-25 10:00:00,2025-04-25 11:00:00,도봉구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17401055558470R349PITR7WTOPGIPG8DF1XFR,02-2091-3789,10:00,15:30,이용일,1,20250426,0:00:00
379,자체,S250221133039432962,문화체험,교육체험,접수중,"[초안산가드닝센터][평일][수요일][단체][가드닝]도봉구 관내 초등학교 3,4학년/꿈꾸는 정원(가드닝)",유료,초안산가드닝센터 본관," 초등학생(초등학교 3,4학년 단체)",https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250221133039432962,127.0466785,37.64749082,2025-03-18 0:00:00,20251126 00:00:00.0,2025-02-25 10:00:00,2025-11-14 17:00:00,도봉구,https://yeyak.seoul.go.kr/web/common/file/FileDown.do?file_id=17401123479462L2QKE45AQ7PBXTHE4H6G5PUN,02-2091-3789,10:00,11:30,이용일,15,20251126,0:00:00
